City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
41,arraial do cabo,-22.9661,-42.0278,22.07,84,7,6.54,BR,1718762017
42,puerto baquerizo moreno,-0.9,-89.6,21.76,91,95,5.28,EC,1718762018
43,bethel,41.3712,-73.414,23.55,74,99,1.97,US,1718761997
44,punta arenas,-53.15,-70.9167,-0.94,69,40,6.17,CL,1718762018
45,sitka,57.0531,-135.33,14.94,67,20,3.6,US,1718762018
46,port isabel,26.0734,-97.2086,27.05,94,75,4.12,US,1718762019
47,cururupu,-1.8283,-44.8683,23.35,91,20,0.39,BR,1718762019
48,xining,36.6167,101.7667,17.82,54,99,0.95,CN,1718762019
49,iqaluit,63.7506,-68.5145,2.85,86,75,1.54,CA,1718762019
50,biltine,14.5333,20.9167,29.24,47,66,2.82,TD,1718762020
51,boende,-0.2167,20.8667,23.41,71,9,0.91,CD,1718762020
52,umm kaddadah,13.6017,26.6876,28.4,53,97,4.64,SD,1718762020
53,santa maria del oro,25.9333,-105.3667,31.73,16,100,8.67,MX,1718762020
54,minas de marcona,-15.2119,-75.1103,11.14,90,39,4.83,PE,1718762021
55,turkmenbasy,40.0222,52.9552,24.43,83,0,5.14,TM,1718762021
56,newman,37.3138,-121.0208,31.99,20,39,2.68,US,1718762021
57,papatowai,-46.5619,169.4708,9.0,71,20,8.86,NZ,1718762022
58,el porvenir,13.7617,-87.3458,23.63,99,100,1.18,HN,1718762022
59,altay,47.8667,88.1167,17.63,70,100,2.63,CN,1718762022
60,weno,7.4515,151.8468,28.28,77,62,4.67,FM,1718762023
61,yellowknife,62.456,-114.3525,21.34,36,20,5.14,CA,1718761790
62,smithers,54.7804,-127.1743,20.18,40,40,3.09,CA,1718762023
63,alofi,-19.0595,-169.9187,27.94,69,20,4.12,NU,1718762023
64,san patricio,28.017,-97.5169,29.97,74,94,8.89,US,1718762024
65,ribeira grande,38.5167,-28.7,17.65,82,100,2.68,PT,1718762024
66,bikenibeu village,1.3673,173.1241,31.98,70,40,3.6,KI,1718762024
67,talnakh,69.4865,88.3972,1.07,57,36,7.26,RU,1718762024
68,east london,-33.0153,27.9116,16.62,50,6,2.18,ZA,1718762025
69,porto novo,6.4965,2.6036,26.9,89,100,2.47,BJ,1718762025
70,kolonia,50.9333,6.95,16.52,92,75,3.6,DE,1718762025
71,las lajitas,-24.6833,-64.25,15.6,92,0,1.72,AR,1718762026
72,tsiombe,-25.3,45.4833,17.22,83,1,2.85,MG,1718762026
73,machico,32.7,-16.7667,19.45,73,40,2.57,PT,1718762026
74,thompson,55.7435,-97.8558,11.09,54,75,3.09,CA,1718762026
75,hadibu,12.65,54.0333,27.42,80,47,6.95,YE,1718762027
76,nuuk,64.1835,-51.7216,4.34,93,75,1.03,GL,1718762027
77,puerto san jose,13.9256,-90.8244,23.96,95,100,3.22,GT,1718762027
78,bauska,56.4075,24.1906,12.43,90,100,2.73,LV,1718762027
79,west wodonga,-36.1257,146.8486,8.19,100,43,1.06,AU,1718762028
80,santo anastacio,-21.8383,-51.6103,22.2,36,6,3.29,BR,1718762028
81,tazovsky,67.4667,78.7,-0.14,97,100,9.55,RU,1718762028
82,udachny,66.4167,112.4,15.82,38,10,3.14,RU,1718761875
83,bontang,0.1333,117.5,26.74,86,100,4.02,ID,1718762029
84,khandyga,62.6667,135.6,11.88,91,100,1.48,RU,1718762029
85,tomatlan,19.9333,-105.25,25.58,77,96,3.67,MX,1718762029
86,ketchikan,55.3422,-131.6461,15.26,77,20,4.63,US,1718761834
87,edinburgh of the seven seas,-37.0676,-12.3116,14.26,80,100,3.15,SH,1718762030
88,longyearbyen,78.2186,15.6401,6.91,57,0,1.54,SJ,1718761917
89,gadzhiyevo,69.2551,33.3362,14.55,75,100,5.4,RU,1718762030
90,hermanus,-34.4187,19.2345,12.67,78,100,5.3,ZA,1718762031
91,hawaiian paradise park,19.5933,-154.9731,26.73,75,100,4.12,US,1718762031
92,archidona,37.0965,-4.3887,16.89,96,0,2.3,ES,1718762031
93,grytviken,-54.2811,-36.5092,-10.09,71,13,4.99,GS,1718762031
94,sandnessjoen,66.0217,12.6316,14.29,93,100,4.43,NO,1718762032
95,zhangjiakou,40.81,114.8794,28.68,36,42,4.5,CN,1718762032
96,nova vicosa,-17.8919,-39.3719,22.43,82,0,2.52,BR,1718762032
97,naze,28.3667,129.4833,23.51,89,100,1.9,JP,1718762032
98,haiku-pauwela,20.9219,-156.3051,28.01,70,40,10.29,US,1718762033
99,saipan,15.1355,145.701,31.39,66,40,6.69,MP,1718762033
100,karema,-6.8205,30.4389,19.18,44,3,2.81,TZ,1718762033
101,port mathurin,-19.6833,63.4167,23.11,72,42,7.75,MU,1718762034
